Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
JaMarcus Russell,OAK,QB,12,1287,3,11,44,0,0,0,0,6,2.8,33.88
LenDale White,TEN,RB,13,0,0,0,222,2,3,14,0,1,2.6,33.6
Chris Jennings,CLE,RB,9,0,0,0,220,1,9,56,0,0,3.7,33.6
Zach Miller,JAX,TE,14,0,0,0,3,0,21,212,2,0,2.4,33.5
Josh Reed,BUF,WR,14,0,0,0,0,0,27,291,1,1,2.4,33.1
Donald Lee,GB,TE,16,0,0,0,0,0,37,260,1,0,2,32
Michael Clayton,TB,WR,13,0,0,0,0,0,16,230,1,0,2.4,31
Brian Leonard,CIN,RB,14,0,0,0,84,0,30,217,0,1,2.2,30.1
Lynell Hamilton,NO,RB,9,0,0,0,125,2,5,48,0,0,3.3,29.3
Michael Vick,PHI,QB,12,86,1,0,95,2,0,0,0,0,2.4,28.94
Joey Haynos,MIA,TE,16,0,0,0,0,0,19,162,2,0,1.8,28.2
Mike Sellers,WAS,TE,15,0,0,0,0,0,17,176,2,1,1.8,27.6
Aaron Brown,DET,RB,15,0,0,0,131,0,9,84,1,0,1.8,27.5
Early Doucet,ARI,WR,9,0,0,0,0,0,17,214,1,0,3,27.4
Lance Moore,NO,WR,7,0,0,0,0,0,14,153,2,0,3.9,27.3
Ben Patrick,ARI,TE,9,0,0,0,0,0,12,146,2,0,3,26.6
Heath Evans,NO,FB,6,0,0,0,16,1,10,70,2,0,4.4,26.6
Desmond Clark,CHI,TE,11,0,0,0,0,0,19,145,2,0,2.4,26.5
JohnnieLee Higgins,OAK,WR,15,0,0,0,21,0,19,263,0,1,1.8,26.4
Chris Baker,NE,TE,16,0,0,0,0,0,14,142,2,0,1.6,26.2
Alge Crumpler,TEN,TE,16,0,0,0,0,0,27,222,1,1,1.6,26.2
Dwayne Jarrett,CAR,WR,13,0,0,0,0,0,17,196,1,0,2,25.6
Isaac Bruce,SF,WR,10,0,0,0,-8,0,21,264,0,0,2.6,25.6
Sean Ryan,KC,TE,10,0,0,0,0,0,14,135,2,0,2.6,25.5
Kellen Davis,CHI,TE,16,0,0,0,0,0,9,75,3,0,1.6,25.5
Keenan Burton,LAR,WR,9,0,0,0,0,0,25,253,0,0,2.8,25.3
David Clowney,NYJ,WR,13,0,0,0,1,0,14,191,1,0,1.9,25.2
Marty Booker,ATL,WR,16,0,0,0,7,0,16,181,1,0,1.6,24.8
Kenneth Darby,LAR,RB,16,0,0,0,152,0,18,96,0,0,1.6,24.8
John Kuhn,GB,FB,14,0,0,0,18,1,7,47,2,0,1.8,24.5
Gary Barnidge,CAR,TE,16,0,0,0,0,0,12,242,0,0,1.5,24.2
Ahman Green,GB,RB,8,0,0,0,160,1,3,18,0,0,3,23.8
Justin Peelle,ATL,TE,15,0,0,0,0,0,12,115,2,0,1.6,23.5
Leonard Pope,KC,TE,13,0,0,0,0,0,20,174,1,0,1.8,23.4
Charlie Frye,OAK,QB,3,581,1,4,41,0,0,0,0,0,7.8,23.34
Laurent Robinson,LAR,WR,3,0,0,0,0,0,13,167,1,0,7.6,22.7
Delanie Walker,SF,TE,16,0,0,0,34,0,21,233,0,2,1.4,22.7
Kahlil Bell,CHI,RB,7,0,0,0,220,0,1,4,0,0,3.2,22.4
Chad Simpson,IND,RB,14,0,0,0,102,2,3,1,0,0,1.6,22.3
David Carr,NYG,QB,6,225,1,0,27,1,0,0,0,0,3.6,21.7
Vonta Leach,HOU,RB,16,0,0,0,0,0,20,155,1,0,1.3,21.5
Jason Hill,SF,WR,11,0,0,0,0,0,9,90,2,0,1.9,21
Domenik Hixon,NYG,WR,14,0,0,0,0,0,15,187,1,2,1.5,20.7
